artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,artist_song
Wild Cherry,Play That Funky Music,301800,False,2002,31,0.822,0.87,9,-6.257,1,0.0592,0.124,0.0,0.045,0.901,109.174,disco,"Wild Cherry, Play That Funky Music"
Wild Cherry,Play That Funky Music,195333,False,2004,0,0.761,0.923,9,-2.452,1,0.0855,0.0605,0.0,0.097,0.888,109.143,disco,"Wild Cherry, Play That Funky Music"
Aventura,Por un Segundo,255027,False,2009,65,0.811,0.562,5,-10.183,0,0.0368,0.137,0.0,0.0623,0.965,129.039,latino,"Aventura, Por un Segundo"
Aventura,Por un Segundo,255027,False,2009,65,0.811,0.562,5,-10.183,0,0.0368,0.137,0.0,0.0623,0.965,129.039,salsa,"Aventura, Por un Segundo"
Moby,Porcelain,241173,False,2008,56,0.297,0.637,0,-7.926,0,0.0336,0.0014,0.18,0.247,0.332,94.73,ambient,"Moby, Porcelain"
Moby,Porcelain,241173,False,2008,56,0.297,0.637,0,-7.926,0,0.0336,0.0014,0.18,0.247,0.332,94.73,electronic,"Moby, Porcelain"
Moby,Porcelain,241173,False,2008,56,0.297,0.637,0,-7.926,0,0.0336,0.0014,0.18,0.247,0.332,94.73,techno,"Moby, Porcelain"
Moby,Porcelain,241173,False,2008,56,0.297,0.637,0,-7.926,0,0.0336,0.0014,0.18,0.247,0.332,94.73,trip-hop,"Moby, Porcelain"
Rise Against,Prayer Of The Refugee,195837,False,2006,0,0.309,0.971,3,-3.45,0,0.146,0.00208,8.12e-06,0.565,0.456,195.809,punk,"Rise Against, Prayer Of The Refugee"
Rise Against,Prayer Of The Refugee,199387,False,2006,65,0.2,0.977,3,-3.494,0,0.159,0.00165,1.1e-05,0.259,0.39,195.711,punk,"Rise Against, Prayer Of The Refugee"
Slipknot,Psychosocial,283400,False,2008,42,0.576,0.989,2,-1.909,1,0.112,0.00252,0.0032,0.0243,0.352,135.093,death-metal,"Slipknot, Psychosocial"
Slipknot,Psychosocial,283400,False,2008,42,0.576,0.989,2,-1.909,1,0.112,0.00252,0.0032,0.0243,0.352,135.093,rock-n-roll,"Slipknot, Psychosocial"
Netsky,Puppy,260422,False,2012,0,0.72,0.727,0,-3.739,1,0.103,0.00616,1.1e-06,0.283,0.856,128.03,drum-and-bass,"Netsky, Puppy"
Netsky,Puppy,260422,False,2012,0,0.72,0.727,0,-3.739,1,0.103,0.00616,1.1e-06,0.283,0.856,128.03,edm,"Netsky, Puppy"
Perfume Genius,Queen,230720,False,2014,0,0.419,0.54,1,-4.936,1,0.0294,0.21,0.0454,0.188,0.13,131.924,indie-pop,"Perfume Genius, Queen"
Perfume Genius,Queen,230720,False,2014,0,0.419,0.54,1,-4.936,1,0.0294,0.21,0.0454,0.188,0.13,131.924,synth-pop,"Perfume Genius, Queen"
Golden Earring,Radar Love,384080,False,2008,0,0.509,0.695,1,-9.583,0,0.0385,0.0964,0.0139,0.101,0.271,101.489,rock,"Golden Earring, Radar Love"
Golden Earring,Radar Love,385893,False,1973,57,0.503,0.468,1,-16.829,0,0.0374,0.0256,0.00134,0.0842,0.215,102.451,rock,"Golden Earring, Radar Love"
The War On Drugs,Red Eyes,297827,False,2015,0,0.464,0.818,10,-6.386,1,0.0362,0.0101,0.155,0.192,0.477,161.841,indie,"The War On Drugs, Red Eyes"
The War On Drugs,Red Eyes,298920,False,2014,2,0.464,0.815,10,-6.371,1,0.0368,0.00871,0.201,0.162,0.467,161.845,indie-pop,"The War On Drugs, Red Eyes"
The War On Drugs,Red Eyes,298920,False,2014,2,0.464,0.815,10,-6.371,1,0.0368,0.00871,0.201,0.162,0.467,161.845,synth-pop,"The War On Drugs, Red Eyes"
Aretha Franklin,Respect,147600,False,1967,72,0.805,0.558,0,-5.226,1,0.041,0.164,2.2e-05,0.0546,0.965,114.95,soul,"Aretha Franklin, Respect"
Aretha Franklin,Respect,144091,False,2012,0,0.819,0.504,0,-6.561,1,0.0411,0.115,0.000176,0.0388,0.964,114.932,soul,"Aretha Franklin, Respect"
Plain White T's,Rhythm Of Love,200200,False,2010,61,0.531,0.542,8,-7.721,1,0.0432,0.356,0.0,0.119,0.726,171.878,acoustic,"Plain White T's, Rhythm Of Love"
Plain White T's,Rhythm Of Love,200200,False,2010,61,0.531,0.542,8,-7.721,1,0.0432,0.356,0.0,0.119,0.726,171.878,alternative,"Plain White T's, Rhythm Of Love"
Stray Cats,Rock This Town,204400,False,1981,39,0.482,0.743,2,-13.077,1,0.0363,0.0607,4.81e-06,0.292,0.655,99.441,rockabilly,"Stray Cats, Rock This Town"
Stray Cats,Rock This Town,158747,False,2013,30,0.314,0.935,2,-6.056,1,0.0584,0.0912,0.0,0.112,0.737,199.77,rockabilly,"Stray Cats, Rock This Town"
Kaiser Chiefs,Ruby,204200,False,2007,68,0.451,0.939,5,-2.82,0,0.0512,0.00673,4.85e-06,0.0774,0.448,93.416,rock,"Kaiser Chiefs, Ruby"
Kaiser Chiefs,Ruby,204200,False,2007,0,0.312,0.941,5,-2.826,0,0.0696,0.00634,3.22e-06,0.076,0.424,186.813,rock,"Kaiser Chiefs, Ruby"
Regina Spektor,Samson,189507,False,2006,47,0.49,0.193,11,-9.544,1,0.0421,0.862,9.74e-06,0.113,0.184,89.154,acoustic,"Regina Spektor, Samson"
Regina Spektor,Samson,189507,False,2006,47,0.49,0.193,11,-9.544,1,0.0421,0.862,9.74e-06,0.113,0.184,89.154,folk,"Regina Spektor, Samson"
Scatman John,Scatman (ski-ba-bop-ba-dop-bop),215973,False,1995,0,0.65,0.82,5,-10.9,0,0.0356,0.0655,0.00274,0.215,0.757,135.982,disco,"Scatman John, Scatman (ski-ba-bop-ba-dop-bop)"
